manuscript_section,page_or_location,table_or_figure,claim_or_metric,displayed_value,source_file,source_row,source_full_precision,rounding,generating_script,canonical_lineage,PASS_FAIL
Results,Table 5; Figure 1,Table 5; Figure 1,mean_difference_RMSE,0.004291,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-02; sensor=modis; target_year=2025; contrast=1y_vs_3y,0.0042914953509693,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,Holm_adjusted_p,0.000999197,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-02; sensor=modis; target_year=2025; contrast=1y_vs_3y,0.0009991968405959,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,paired_block_n,24,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-02; sensor=modis; target_year=2025; contrast=1y_vs_3y,24,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,mean_difference_RMSE,0.001087,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-02; sensor=modis; target_year=2025; contrast=2y_vs_3y,0.0010872203814631,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,Holm_adjusted_p,0.00592487,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-02; sensor=modis; target_year=2025; contrast=2y_vs_3y,0.005924868496797,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,paired_block_n,24,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-02; sensor=modis; target_year=2025; contrast=2y_vs_3y,24,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,mean_difference_RMSE,-0.000779,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-02; sensor=sentinel2; target_year=2024; contrast=1y_vs_2y,-0.00077921194539,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,Holm_adjusted_p,3.08789e-07,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-02; sensor=sentinel2; target_year=2024; contrast=1y_vs_2y,3.087891175183488e-07,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,paired_block_n,38,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-02; sensor=sentinel2; target_year=2024; contrast=1y_vs_2y,38,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,mean_difference_RMSE,0.003548,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-02; sensor=sentinel2; target_year=2024; contrast=1y_vs_3y,0.0035477962594719,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,Holm_adjusted_p,9.32646e-05,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-02; sensor=sentinel2; target_year=2024; contrast=1y_vs_3y,9.32646396127748e-05,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,paired_block_n,38,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-02; sensor=sentinel2; target_year=2024; contrast=1y_vs_3y,38,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,mean_difference_RMSE,0.004327,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-02; sensor=sentinel2; target_year=2024; contrast=2y_vs_3y,0.0043270082048619,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,Holm_adjusted_p,7.51136e-05,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-02; sensor=sentinel2; target_year=2024; contrast=2y_vs_3y,7.51136337451258e-05,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,paired_block_n,38,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-02; sensor=sentinel2; target_year=2024; contrast=2y_vs_3y,38,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,mean_difference_RMSE,0.001619,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-02; sensor=sentinel2; target_year=2025; contrast=1y_vs_2y,0.0016190078408096,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,Holm_adjusted_p,0.00928748,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-02; sensor=sentinel2; target_year=2025; contrast=1y_vs_2y,0.0092874842612724,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,paired_block_n,38,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-02; sensor=sentinel2; target_year=2025; contrast=1y_vs_2y,38,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,mean_difference_RMSE,0.002420,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-02; sensor=sentinel2; target_year=2025; contrast=1y_vs_3y,0.0024201416878417,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,Holm_adjusted_p,0.10873,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-02; sensor=sentinel2; target_year=2025; contrast=1y_vs_3y,0.1087304093370731,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,paired_block_n,38,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-02; sensor=sentinel2; target_year=2025; contrast=1y_vs_3y,38,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,mean_difference_RMSE,0.000801,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-02; sensor=sentinel2; target_year=2025; contrast=2y_vs_3y,0.000801133847032,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,Holm_adjusted_p,0.264883,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-02; sensor=sentinel2; target_year=2025; contrast=2y_vs_3y,0.2648832594570245,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,paired_block_n,38,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-02; sensor=sentinel2; target_year=2025; contrast=2y_vs_3y,38,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,mean_difference_RMSE,0.004276,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=landsat; target_year=2024; contrast=1y_vs_2y,0.0042759475030834,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,Holm_adjusted_p,7.48332e-09,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=landsat; target_year=2024; contrast=1y_vs_2y,7.483324853045983e-09,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,paired_block_n,35,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=landsat; target_year=2024; contrast=1y_vs_2y,35,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,mean_difference_RMSE,0.004850,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=landsat; target_year=2024; contrast=1y_vs_3y,0.0048498168591073,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,Holm_adjusted_p,2.8338e-08,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=landsat; target_year=2024; contrast=1y_vs_3y,2.8338041169842105e-08,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,paired_block_n,35,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=landsat; target_year=2024; contrast=1y_vs_3y,35,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,mean_difference_RMSE,0.000574,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=landsat; target_year=2024; contrast=2y_vs_3y,0.0005738693560239,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,Holm_adjusted_p,4.98954e-05,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=landsat; target_year=2024; contrast=2y_vs_3y,4.989544462665088e-05,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,paired_block_n,35,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=landsat; target_year=2024; contrast=2y_vs_3y,35,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,mean_difference_RMSE,-0.002591,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=landsat; target_year=2025; contrast=1y_vs_2y,-0.0025914044063974,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,Holm_adjusted_p,2.79816e-05,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=landsat; target_year=2025; contrast=1y_vs_2y,2.7981625638857855e-05,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,paired_block_n,35,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=landsat; target_year=2025; contrast=1y_vs_2y,35,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,mean_difference_RMSE,-0.001145,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=landsat; target_year=2025; contrast=1y_vs_3y,-0.0011448075628093,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,Holm_adjusted_p,5.96491e-05,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=landsat; target_year=2025; contrast=1y_vs_3y,5.9649101295457513e-05,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,paired_block_n,35,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=landsat; target_year=2025; contrast=1y_vs_3y,35,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,mean_difference_RMSE,0.001447,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=landsat; target_year=2025; contrast=2y_vs_3y,0.001446596843588,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,Holm_adjusted_p,2.03164e-05,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=landsat; target_year=2025; contrast=2y_vs_3y,2.0316431805992618e-05,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,paired_block_n,35,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=landsat; target_year=2025; contrast=2y_vs_3y,35,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,mean_difference_RMSE,-0.000144,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=modis; target_year=2024; contrast=1y_vs_2y,-0.0001438768074962,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,Holm_adjusted_p,0.613175,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=modis; target_year=2024; contrast=1y_vs_2y,0.6131748466091276,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,paired_block_n,35,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=modis; target_year=2024; contrast=1y_vs_2y,35,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,mean_difference_RMSE,-0.000590,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=modis; target_year=2024; contrast=1y_vs_3y,-0.0005902274005168,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,Holm_adjusted_p,0.278883,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=modis; target_year=2024; contrast=1y_vs_3y,0.2788830439009822,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,paired_block_n,35,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=modis; target_year=2024; contrast=1y_vs_3y,35,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,mean_difference_RMSE,-0.000446,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=modis; target_year=2024; contrast=2y_vs_3y,-0.0004463505930205,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,Holm_adjusted_p,0.0286216,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=modis; target_year=2024; contrast=2y_vs_3y,0.0286216082780328,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,paired_block_n,35,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=modis; target_year=2024; contrast=2y_vs_3y,35,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,mean_difference_RMSE,0.000376,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=modis; target_year=2025; contrast=1y_vs_2y,0.0003760747871238,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,Holm_adjusted_p,3.97408e-06,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=modis; target_year=2025; contrast=1y_vs_2y,3.97407969330731e-06,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,paired_block_n,35,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=modis; target_year=2025; contrast=1y_vs_2y,35,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,mean_difference_RMSE,0.000456,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=modis; target_year=2025; contrast=1y_vs_3y,0.0004557495321614,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,Holm_adjusted_p,0.248119,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=modis; target_year=2025; contrast=1y_vs_3y,0.248118588567199,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,paired_block_n,35,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=modis; target_year=2025; contrast=1y_vs_3y,35,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,mean_difference_RMSE,0.000080,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=modis; target_year=2025; contrast=2y_vs_3y,7.967474503762203e-05,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,Holm_adjusted_p,0.754481,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=modis; target_year=2025; contrast=2y_vs_3y,0.7544807781253253,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
